itemId,yield,lines
FG-CP25G-08,1,"[{""id"":""RM-MICA-TAPE-CP25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CP25G"",""rmThk"":""0.08"",""rmGsm"":""110"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false}]"
FG-CP25G-10,1,"[{""id"":""RM-MICA-TAPE-CP25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CP25G"",""rmThk"":""0.1"",""rmGsm"":""140"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false}]"
FG-CP25G-11,1,"[{""id"":""RM-MICA-TAPE-CP25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CP25G"",""rmThk"":""0.11"",""rmGsm"":""150"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false}]"
FG-CP25G-12,1,"[{""id"":""RM-MICA-TAPE-CP25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CP25G"",""rmThk"":""0.12"",""rmGsm"":""170"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false}]"
FG-CP25G-14,1,"[{""id"":""RM-MICA-TAPE-CP25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CP25G"",""rmThk"":""0.14000000000000001"",""rmGsm"":""200"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false}]"
FG-CP25G-15,1,"[{""id"":""RM-MICA-TAPE-CP25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CP25G"",""rmThk"":""0.15"",""rmGsm"":""225"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false}]"
FG-CP25GE-13,1,"[{""id"":""RM-MICA-TAPE-CP25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CP25G"",""rmThk"":""0.08"",""rmGsm"":""110"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-POLYOLYFIN"",""options"":[],""rm"":""POLYOLYFIN"",""rmType"":null,""rmThk"":""0.05"",""rmGsm"":""47.5"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":null,""options"":[""RM-ADHESIVE-MOMENTIVE-595-NT"",""RM-ADHESIVE-Q2-7406""],""rm"":""ADHESIVE"",""rmType"":""MOMENTIVE 595 NT or Q2  7406"",""rmThk"":null,""rmGsm"":null,""qty"":20,""unit"":""KG"",""pickupPct"":null,""ranged"":true},{""id"":""RM-SOLVENT-ETHYLE-ACITATE"",""options"":[],""rm"":""SOLVENT"",""rmType"":""ETHYLE ACITATE"",""rmThk"":null,""rmGsm"":null,""qty"":30,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-HARDNER-BENZOILE-PEROXIDE"",""options"":[],""rm"":""HARDNER"",""rmType"":""BENZOILE PEROXIDE"",""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""GRAM"",""pickupPct"":null,""ranged"":false}]"
FG-CP25GE-145,1,"[{""id"":""RM-MICA-TAPE-CP25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CP25G"",""rmThk"":""0.1"",""rmGsm"":""135"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-POLYOLYFIN"",""options"":[],""rm"":""POLYOLYFIN"",""rmType"":null,""rmThk"":""0.05"",""rmGsm"":""47.5"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":null,""options"":[""RM-ADHESIVE-MOMENTIVE-595-NT"",""RM-ADHESIVE-Q2-7406""],""rm"":""ADHESIVE"",""rmType"":""MOMENTIVE 595 NT or Q2  7406"",""rmThk"":null,""rmGsm"":null,""qty"":20,""unit"":""KG"",""pickupPct"":null,""ranged"":true},{""id"":""RM-SOLVENT-ETHYLE-ACITATE"",""options"":[],""rm"":""SOLVENT"",""rmType"":""ETHYLE ACITATE"",""rmThk"":null,""rmGsm"":null,""qty"":30,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-HARDNER-BENZOILE-PEROXIDE"",""options"":[],""rm"":""HARDNER"",""rmType"":""BENZOILE PEROXIDE"",""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""GRAM"",""pickupPct"":null,""ranged"":false}]"
FG-CCM25GE-10,1,"[{""id"":""RM-MICA-TAPE-CCM25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CCM25G"",""rmThk"":""0.06"",""rmGsm"":""75"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-POLYOLYFIN"",""options"":[],""rm"":""POLYOLYFIN"",""rmType"":null,""rmThk"":""0.05"",""rmGsm"":""47.5"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":null,""options"":[""RM-ADHESIVE-MOMENTIVE-595-NT"",""RM-ADHESIVE-Q2-7406""],""rm"":""ADHESIVE"",""rmType"":""MOMENTIVE 595 NT or Q2  7406"",""rmThk"":null,""rmGsm"":null,""qty"":20,""unit"":""KG"",""pickupPct"":null,""ranged"":true},{""id"":""RM-SOLVENT-ETHYLE-ACITATE"",""options"":[],""rm"":""SOLVENT"",""rmType"":""ETHYLE ACITATE"",""rmThk"":null,""rmGsm"":null,""qty"":30,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-HARDNER-BENZOILE-PEROXIDE"",""options"":[],""rm"":""HARDNER"",""rmType"":""BENZOILE PEROXIDE"",""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""GRAM"",""pickupPct"":null,""ranged"":false}]"
FG-CCM25GE-13,1,"[{""id"":""RM-MICA-TAPE-CCM25G"",""options"":[],""rm"":""MICA TAPE"",""rmType"":""CCM25G"",""rmThk"":""0.08"",""rmGsm"":""105"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":""RM-POLYOLYFIN"",""options"":[],""rm"":""POLYOLYFIN"",""rmType"":null,""rmThk"":""0.05"",""rmGsm"":""47.5"",""qty"":1000,""unit"":""MTR"",""pickupPct"":null,""ranged"":false},{""id"":null,""options"":[""RM-ADHESIVE-MOMENTIVE-595-NT"",""RM-ADHESIVE-Q2-7406""],""rm"":""ADHESIVE"",""rmType"":""MOMENTIVE 595 NT or Q2  7406"",""rmThk"":null,""rmGsm"":null,""qty"":20,""unit"":""KG"",""pickupPct"":null,""ranged"":true},{""id"":""RM-SOLVENT-ETHYLE-ACITATE"",""options"":[],""rm"":""SOLVENT"",""rmType"":""ETHYLE ACITATE"",""rmThk"":null,""rmGsm"":null,""qty"":30,""unit"":""KG"",""pickupPct"":0,""ranged"":false},{""id"":""RM-HARDNER-BENZOILE-PEROXIDE"",""options"":[],""rm"":""HARDNER"",""rmType"":""BENZOILE PEROXIDE"",""rmThk"":null,""rmGsm"":null,""qty"":180,""unit"":""GRAM"",""pickupPct"":null,""ranged"":false}]"
