itemId,name,uom,onHand,whatIsMissing,gsm_g_per_m2,width_mm,kgPerUnit,hintFromName
"RM-CHSNW-015-60MM","CHSNW 0.15 × 60MM","BOX","9","kgPerBox","n/a","n/a","","name says 60 mm wide"
"RM-CHSNW-015-50MM","CHSNW 0.15 × 50MM","MTR","150000","gsm + width","","","n/a","name says 50 mm wide"
"RM-MICA-TAPE-CCM25G-120MIC","MICA TAPE CCM25G 0.12MM","MTR","93058.06","width","n/a","","n/a","has gsm=155"
"RM-MICA-TAPE-CM25DG-125MIC","MICA TAPE CM25 DG 0.125MM","MTR","89573.17","width","n/a","","n/a","has gsm=164"
"RM-MICA-TAPE-CP25G-90MIC","MICA TAPE CP25G 0.09MM","MTR","51136","width","n/a","","n/a","has gsm=125"
"RM-MICA-TAPE-CP25H-130MIC","MICA TAPE CP25H 0.13MM","MTR","2313.51","width","n/a","","n/a","has gsm=185"
"RM-MICA-TAPE-CP25H-120MIC","MICA TAPE CP25H 0.12MM","MTR","708.24","width","n/a","","n/a","has gsm=170"
"RM-POLYESTER-YARN","POLYESTER YARN","MTR","0","gsm","","n/a","n/a","has width=1000"
"RM-TB-CHINA","TB CHINA","PLT","20","kgPerPallet","n/a","n/a","",""
"RM-JAPAN-POWDER-180N","JAPAN POWDER 180N (SAP)","PLT","9","kgPerPallet","n/a","n/a","",""
"RM-MICA-PAPER-120GSM","MICA PAPER 120 GSM","PLT","3","kgPerPallet","n/a","n/a","","name says 120 gsm"
"RM-MICA-PAPER-100GSM","MICA PAPER 100 GSM","PLT","2","kgPerPallet","n/a","n/a","","name says 100 gsm"
"RM-HF72","HF72","ROLL","68","kgPerRoll","n/a","n/a","",""
"RM-PP-TAPE-015-ROLL","PP TAPE 0.15","ROLL","60","kgPerRoll","n/a","n/a","",""
"RM-FAB-DOLLAR-020T-120GSM","FABRIC 0.20T - 120 GSM (Dollar)","ROLL","58","kgPerRoll","n/a","n/a","","name says 120 gsm"
"RM-FAB-PWF-11C","FABRIC PWF-11C (China)","ROLL","49","kgPerRoll","n/a","n/a","",""
"RM-FAB-DOLLAR-016T-90GSM","FABRIC 0.16T - 90 GSM (Dollar)","ROLL","44","kgPerRoll","n/a","n/a","","name says 90 gsm"
"RM-FAB-PWF-22C","FABRIC PWF-22C (China)","ROLL","43","kgPerRoll","n/a","n/a","",""
"RM-FAB-PWPP9758-020T","FABRIC PWPP9758 - 0.20T (Kusumgar)","ROLL","34","kgPerRoll","n/a","n/a","",""
"RM-FAB-DOLLAR-014T-100GSM","FABRIC 0.14T - 100 GSM (Dollar)","ROLL","30","kgPerRoll","n/a","n/a","","name says 100 gsm"
"RM-REINFORCE","REINFORCE","ROLL","30","kgPerRoll","n/a","n/a","",""
"RM-LSZH-018-ROLL","LSZH 0.18","ROLL","22","kgPerRoll","n/a","n/a","",""
"RM-RCT-020-JUMBO","RCT 0.2 (jumbo roll)","ROLL","21","kgPerRoll","n/a","n/a","",""
"RM-FAB-PWPP9416-012T","FABRIC PWPP9416 - 0.12T (Kusumgar)","ROLL","13","kgPerRoll","n/a","n/a","",""
"RM-FAB-PWF-16C","FABRIC PWF-16C (China)","ROLL","12","kgPerRoll","n/a","n/a","",""
"RM-FAB-DOLLAR-013T-65GSM","FABRIC 0.13T - 65 GSM (Dollar)","ROLL","9","kgPerRoll","n/a","n/a","","name says 65 gsm"
"RM-PP-TAPE-020-ROLL","PP TAPE 0.20","ROLL","6","kgPerRoll","n/a","n/a","",""
"RM-FAB-DOLLAR-VHT-020T","HIGH TENSILE FABRIC VHT - 0.20T (Dollar)","ROLL","2","kgPerRoll","n/a","n/a","",""
"RM-RCT-030-JUMBO","RCT 0.3 (jumbo roll)","ROLL","2","kgPerRoll","n/a","n/a","",""
"RM-CHDNW-030-65MM","CHDNW 0.30 × 65MM","SQM","3000","gsm","","n/a","n/a","name says 65 mm wide"
"RM-SC-WOVEN-WBT-020-40MM","SEMI-CONDUCTING WOVEN WBT 0.20 × 40MM","SQM","3000","gsm","","n/a","n/a","name says 40 mm wide"
